---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.UpdData = 2
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.FileName = "..\Subjects\Subject 1\gait1\\gait1-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
6.666660000000001e-002 -1.926156084777728e-001 1.044334678614591e-001 3.637031445987843e-001 9.590435065878552e-001 1.771915996627618e-001 0.000000000000000e+000
1.006943437500000e-001 -1.062477606691071e-001 1.591239693111899e-001 3.094837712589799e-001 9.454716985427585e-001 -1.697748412651951e-002 0.000000000000000e+000
1.347220875000000e-001 -3.579318536170450e-002 1.737959849702184e-001 2.973565623977879e-001 9.647133512422140e-001 5.109455196232355e-002 0.000000000000000e+000
1.687498312500000e-001 4.845925751482225e-002 1.848191554353464e-001 2.671478024176884e-001 9.653788104173836e-001 1.527507314265472e-001 0.000000000000000e+000
2.027775750000000e-001 1.340254075206891e-001 1.801793180673168e-001 2.252493442626685e-001 9.215010007072820e-001 2.238558467215380e-001 0.000000000000000e+000
2.368053187500000e-001 1.975374210217798e-001 1.543241298630962e-001 1.714311980382950e-001 8.319436587109954e-001 2.791052697349253e-001 0.000000000000000e+000
2.708330625000000e-001 2.234670303423295e-001 1.156597262999901e-001 9.579778300833136e-002 6.941470372151677e-001 3.183501781678526e-001 0.000000000000000e+000
3.048608062500000e-001 1.962009293260242e-001 7.704519994247128e-002 -3.422940036846045e-003 5.112729337531392e-001 3.195106214165319e-001 0.000000000000000e+000
3.388885500000000e-001 1.503096566157174e-001 5.734013392898696e-002 -9.719139670000382e-002 3.245376795388916e-001 2.642571049902870e-001 0.000000000000000e+000
3.729162937500000e-001 1.222726265991854e-001 5.435330745055711e-002 -1.572150135774315e-001 1.866627877097888e-001 1.808126767253984e-001 0.000000000000000e+000
4.069440375000000e-001 1.083278312608106e-001 5.052395440319235e-002 -1.869442062733064e-001 1.127647827362191e-001 1.201429105340893e-001 0.000000000000000e+000
4.409717812500000e-001 8.363709221169018e-002 3.954783542518636e-002 -2.014446188722347e-001 8.309217648761889e-002 1.071699641183979e-001 0.000000000000000e+000
4.749995250000000e-001 3.847874730475525e-002 2.431997979427414e-002 -2.026849489228443e-001 7.889525173150888e-002 1.403232195921406e-001 0.000000000000000e+000
5.090272687499999e-001 -2.547016027808979e-002 9.085769283675438e-003 -1.899622938739515e-001 8.422563138168378e-002 2.009845445484920e-001 0.000000000000000e+000
5.430550125000000e-001 -8.741860253350277e-002 -3.663197698808185e-003 -1.631704978597424e-001 9.851694659214309e-002 2.686238290103885e-001 0.000000000000000e+000
5.770827562500001e-001 -1.291954830611534e-001 -1.701171204042251e-002 -1.273911697043865e-001 1.279663359343679e-001 3.318189785452826e-001 0.000000000000000e+000
6.111105000000000e-001 -1.502863819944204e-001 -3.189244148162951e-002 -8.572874787345028e-002 1.713090510635743e-001 3.835402404067935e-001 0.000000000000000e+000
6.451382437500001e-001 -1.489315197604308e-001 -4.875615438755743e-002 -4.154031990104001e-002 2.305054712050025e-001 4.176545192751635e-001 0.000000000000000e+000
6.791659875000000e-001 -1.434167367422890e-001 -6.232592774115742e-002 -4.932355518302249e-004 2.931184351657958e-001 4.315486937759873e-001 0.000000000000000e+000
7.131937312500000e-001 -1.412543148437656e-001 -6.909085344375665e-002 3.478553473646723e-002 3.479022915716762e-001 4.280368933395248e-001 0.000000000000000e+000
7.472214750000000e-001 -1.549695029283268e-001 -6.764563398167311e-002 6.275450867709183e-002 3.816519948184565e-001 4.153031863227877e-001 0.000000000000000e+000
