---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.UpdData = 2
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.FileName = "..\Subjects\Subject 1\gait1\\gait1-output-euler-rightarm.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col7  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ElbowFlexion
col8  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ElbowPronation
col9  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.WristFlexion
col10  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.WristAbduction
6.666660000000001e-002 -3.240482625941717e-001 9.828665470506159e-002 -3.032763246020179e-001 -1.419735425326341e-002 -5.108008743170720e-002 2.837048651275764e-001 4.499302476494539e-001 -8.897498651913381e-001 1.325616233997535e-001 3.352611618963179e-001
1.006943437500000e-001 -3.372249677535331e-001 1.031981369840256e-001 -3.052225530139169e-001 -1.333033734351352e-001 1.022427127583710e-001 2.790952569380628e-001 5.798867601437212e-001 -7.603550456989604e-001 2.053242727260298e-001 3.693076297016689e-001
1.347220875000000e-001 -3.300443149770209e-001 1.005360367697812e-001 -3.039640708217066e-001 -6.745042522477984e-002 5.208082593057960e-002 2.820691395631888e-001 4.980374746315115e-001 -7.086170001032316e-001 1.961310532578713e-001 3.711059257910706e-001
1.687498312500000e-001 -3.218583030703098e-001 9.763563651736162e-002 -3.006737298911969e-001 1.649408213712955e-002 -2.393713179436019e-002 2.898450863892919e-001 4.115493179864006e-001 -7.227135561189714e-001 1.776170151139163e-001 3.611834446937925e-001
2.027775750000000e-001 -3.179469567832574e-001 9.639927928498149e-002 -2.969959576236215e-001 6.666224584170122e-002 -6.402846889879767e-002 2.985589632419266e-001 3.755972067438562e-001 -7.500013183513330e-001 1.715195107948810e-001 3.544447254031630e-001
2.368053187500000e-001 -3.158918686730574e-001 9.573757596370358e-002 -2.952210545680782e-001 9.226856216671053e-002 -7.701662828508213e-002 3.027775721708561e-001 3.758262987549541e-001 -7.631757516812928e-001 1.703424926431520e-001 3.551335525904815e-001
2.708330625000000e-001 -3.129837883293185e-001 9.448175272319470e-002 -2.971852970497738e-001 1.071155672737565e-001 -8.640780116058067e-002 2.981301809879264e-001 3.991241124028373e-001 -7.627973178746322e-001 1.680447530325941e-001 3.582185898768667e-001
3.048608062500000e-001 -3.080481683630107e-001 9.220399472809837e-002 -3.025689339692849e-001 1.225167285475735e-001 -1.048726021147869e-001 2.853814162894059e-001 4.367870418418783e-001 -7.448550295034899e-001 1.680033312388995e-001 3.587422728831548e-001
3.388885500000000e-001 -3.021703004535363e-001 8.947232312976006e-002 -3.092476781169046e-001 1.395823632077256e-001 -1.345086199725432e-001 2.695550368978328e-001 4.819977376747581e-001 -7.310748406389831e-001 1.664205575857329e-001 3.602960573008056e-001
3.729162937500000e-001 -2.973412702675211e-001 8.722985694337893e-002 -3.147099996954374e-001 1.537208411433122e-001 -1.655902758047048e-001 2.566113088675953e-001 5.340405132767331e-001 -7.223314555139827e-001 1.724488803451953e-001 3.570673925647098e-001
4.069440375000000e-001 -2.946801307218763e-001 8.597201020077216e-002 -3.180285413549344e-001 1.600386937785301e-001 -1.936472022268065e-001 2.487474732027960e-001 5.881673553118564e-001 -7.202243489551023e-001 1.624682862068241e-001 3.656473567636025e-001
4.409717812500000e-001 -2.950936981257140e-001 8.602834229757961e-002 -3.194577313245996e-001 1.497621103769666e-001 -2.046376505511125e-001 2.453568711645432e-001 6.508607558766282e-001 -7.086872717869456e-001 1.648026822897304e-001 3.641139340970728e-001
4.749995250000000e-001 -2.981305204111885e-001 8.717587889007405e-002 -3.197124235463876e-001 1.232347132973415e-001 -1.996197320113925e-001 2.447228946592230e-001 7.100961588255351e-001 -6.953309171102190e-001 1.639108455981320e-001 3.640208889298903e-001
5.090272687499999e-001 -2.999052641921033e-001 8.776519435941999e-002 -3.209794048940168e-001 1.023900033088669e-001 -2.004849869705475e-001 2.417342479785589e-001 7.458925001557374e-001 -6.795165912888813e-001 1.626377926178519e-001 3.636435989575930e-001
5.430550125000000e-001 -3.009132544403706e-001 8.808452037294834e-002 -3.219000443170191e-001 8.959313761938570e-002 -2.072039137617054e-001 2.395660142131397e-001 7.589746197437705e-001 -6.676307770713137e-001 1.608796289980823e-001 3.642786710040816e-001
5.770827562500001e-001 -3.024977943923241e-001 8.875017290013187e-002 -3.210840415502053e-001 8.028869761229895e-002 -2.137210129600556e-001 2.415024670866320e-001 7.567068811232968e-001 -6.640557908927092e-001 1.604462038909271e-001 3.644010298971260e-001
