---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.UpdData = 2
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\Subjects\Subject 1\gait1\\gait1-output-euler-trunk.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
6.666660000000001e-002 -5.994006969721231e-002 9.699040925968449e-001 -3.904866705532760e-001 -3.233123784433953e-001 -8.880967883832694e-001 3.458908749040224e-001 -6.460060695587888e-001 -1.771949717567269e-002 4.014146889028956e-002
1.006943437500000e-001 -2.438505449035841e-002 9.659883807288343e-001 -3.983319311361232e-001 -2.521495275840123e-001 -8.162502544501188e-001 2.398288981895647e-001 -6.164805177387033e-001 5.305152781052162e-002 9.804822556251475e-002
1.347220875000000e-001 -8.753373578729050e-004 9.736315975213267e-001 -3.587045529749159e-001 -2.547241828208918e-001 -8.134339991127798e-001 2.457610304923153e-001 -6.152450579673555e-001 4.772993779167593e-002 6.638599261598160e-002
1.687498312500000e-001 2.065259632400267e-002 9.826733650182307e-001 -3.165509452011767e-001 -2.668153549462941e-001 -7.990669139303596e-001 2.574828645083810e-001 -6.198840422250427e-001 5.277224501160265e-002 1.324276250847883e-002
2.027775750000000e-001 4.489688891916103e-002 9.894189853835272e-001 -2.852770129825834e-001 -2.646738030454800e-001 -7.767415175531819e-001 2.519633710764122e-001 -6.188372159642623e-001 6.822833182425288e-002 -1.745161878445757e-002
2.368053187500000e-001 7.133874860081617e-002 9.936846615817763e-001 -2.604314784904720e-001 -2.482815862136490e-001 -7.528243171422920e-001 2.369683099555450e-001 -6.123762410119819e-001 7.828969669815317e-002 -3.057007150432737e-002
2.708330625000000e-001 9.827594566416473e-002 9.952453224305546e-001 -2.350644983715187e-001 -2.314510282721128e-001 -7.124045309233277e-001 2.281531695900883e-001 -6.123549812620154e-001 8.059166342498358e-002 -6.614981410266198e-002
3.048608062500000e-001 1.249188743535378e-001 9.940668784837469e-001 -2.071443525208005e-001 -2.252746067461329e-001 -6.736117127529328e-001 2.392070792612673e-001 -6.253505225266658e-001 7.342693786404189e-002 -1.007976058819855e-001
3.388885500000000e-001 1.510740594987290e-001 9.907022076096107e-001 -1.783219419970212e-001 -2.262072795755037e-001 -6.502388464407736e-001 2.598168760087782e-001 -6.410950795323818e-001 5.885276844584216e-002 -1.227123898104570e-001
3.729162937500000e-001 1.772535786926834e-001 9.861051077078793e-001 -1.508848383105180e-001 -2.245394297562252e-001 -6.410969375302252e-001 2.705537131805934e-001 -6.449087332823930e-001 4.349831391527776e-002 -1.345641489018450e-001
4.069440375000000e-001 2.053055495781192e-001 9.806334067044847e-001 -1.252129000918194e-001 -2.203436909468716e-001 -6.366974198924169e-001 2.769349202884283e-001 -6.444851007911876e-001 2.617154096809687e-002 -1.450833285227862e-001
4.409717812500000e-001 2.368298570666648e-001 9.746622186119629e-001 -1.001299996351543e-001 -2.207555392922893e-001 -6.340966914555455e-001 2.939826194846553e-001 -6.513505179878056e-001 3.964114716657257e-003 -1.495764585913715e-001
4.749995250000000e-001 2.717947996495463e-001 9.691863683791281e-001 -7.457443392855953e-002 -2.293599935929163e-001 -6.334299955960496e-001 3.247129744315135e-001 -6.668486798246518e-001 -2.064752490213833e-002 -1.432361423986636e-001
5.090272687499999e-001 3.089694414722201e-001 9.652050889930404e-001 -4.832329439454671e-002 -2.450488962406249e-001 -6.395659645023123e-001 3.637798231680520e-001 -6.875324936828825e-001 -4.940699917779267e-002 -1.406153444937083e-001
5.430550125000000e-001 3.464516224203083e-001 9.634363789952346e-001 -2.263354377749169e-002 -2.621596603211724e-001 -6.585421923934521e-001 3.958784019219923e-001 -7.001682627716932e-001 -7.446736161958567e-002 -1.361949605234216e-001
5.770827562500001e-001 3.824453695298337e-001 9.636016806828271e-001 1.113729546190746e-003 -2.734428441883669e-001 -6.900732078915105e-001 4.117010997704265e-001 -6.967410522812493e-001 -9.237553229133277e-002 -1.235579355799229e-001
6.111105000000000e-001 4.164788176851281e-001 9.653816425602150e-001 2.242413470343469e-002 -2.786052464318425e-001 -7.304550488249182e-001 4.145273517478089e-001 -6.818590077256455e-001 -1.024368895923966e-001 -9.886895834428179e-002
